Nombre,Tipo,Fecha_Desde ,Fecha_Hasta,País,Lugar,Territorio,Entidad,Escenario,Descripcion_del_Evento,Pagina_Web,email
COPA ARGENTINA DE CADETES Y JUVENILES CLASIFICATORIO A LOS J. OLIMPICOS DE LA JUVENTID 2014,Campeonato Suramericano,02/12/2013,06/12/2013,ARGENTINA,Buenos Aires,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
CAMPEONATO NACIONAL ABIERTO,Campeonato Nacional,05/12/2013,08/12/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
COPA NACIONAL DE MARCHA,Campeonato Nacional,13/04/2013,13/04/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
COPA NACIONAL DE LANZAMIENTOS MANUEL PASOS LOPEZ,Campeonato Nacional,27/04/2013,28/04/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO NACIONAL INFANTIL CATEGORÍA A,Campeonato Nacional,04/05/2013,05/05/2013,COLOMBIA,Turbo , Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO NACIONAL MENORES,Campeonato Nacional,17/05/2013,19/05/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
COPA PANAMERICANA DE MARCHA ATLETICA,Campeonato Panamericano,25/05/2013,26/05/2013,GUATEMALA,Guatemala ,,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
GRAND PRIX INTERNACIONAL XIMENA RESTREPO,Grand Prix Internacional,25/05/2013,25/05/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
FESTIVAL DE SEMIFONDO Y FONDO,Torneo Abierto,26/05/2013,26/05/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO NACIONAL MAYORES,Campeonato Nacional,07/06/2013,09/06/2013,COLOMBIA,Cartagena , Bolívar,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
GRAND PRIX INTERNACIONAL ESCUELA NACIONAL DEL DEPORTE,Grand Prix Internacional,22/06/2013,22/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
FESTIVAL DE SEMIFONDO Y FONDO,Torneo Abierto,23/06/2013,23/06/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO NACIONAL EN MONTAÑA,Campeonato Nacional,30/06/2013,30/06/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO SURAMERICANO MAYORES,Campeonato Suramericano,05/07/2013,07/07/2013,COLOMBIA,Cartagena,Bolívar,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO MUNDIAL MENORES,Campeonato Mundial,10/07/2013,14/07/2013,UCRANIA,Donets,,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
CAMPEONATO NACIONAL JUVENIL,Campeonato Nacional,12/07/2013,14/07/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO,,,,
